id,name,tagline,description,,,,
kb-001,Nebula 65,Wireless freedom. Audiophile sound.,The Nebula 65 is a masterpiece of engineering. Featuring a gasket-mounted design, hot-swappable PCB, and triple-mode connectivity, it delivers a typing experience that sounds as good as it feels.,
r1,Titan TKL Pro,Tournament-ready performance with optical switches.,Built for esports, the Titan TKL Pro delivers zero-latency keystrokes with our proprietary optical switches. The aerospace-grade aluminum top plate ensures durability during intense gaming sessions.,,,
r3,Spectre 96,No compromises. 96% Layout power.,For those who need the numpad without the bulk. The Spectre 96 is a heavy-duty workstation keyboard with silent linear switches, perfect for office use by day and gaming by night.,,,
kb-004,Lumina 75,The perfect balance of function and form.,The Lumina 75 brings the function row back in a compact form factor. Featuring a programmable rotary knob and a flex-cut PC plate, it offers a bouncy, resonant sound profile that enthusiasts love.,,
kb-005,Aula 60he,Ultra-portable, ultra-efficient.,The Nano 40 is designed for the true minimalist. With a 40% orthogonal layout, every key is within one unit of your home row. Fully programmable layers mean you never sacrifice functionality for size.,,
kb-006,Aurora 60,Compact powerhouse.,The Aurora 60 delivers a perfect balance of compact size and full functionality. With a solid aluminum case and south-facing RGB, its perfect for enthusiasts who want a clean, minimalist setup.,,
kb-007,Eclipse 80%,All the keys you need.,The Eclipse 80% brings back the function row while keeping your desk clean. Perfect for productivity and gaming with dedicated media controls.,,,,
kb-008,F108 Pro,Full-size powerhouse for office and productivity.,The F108 Pro delivers a complete 100% layout with a numpad, function row, and dedicated media controls. Perfect for Excel, accounting, and any workflow that demands every key at your fingertips.
m-001,Phantom Air,Defy gravity with 49g ultra-lightweight design.,Engineered for speed and precision. The Phantom Air features a magnesium alloy honeycomb shell, PixArt PAW3395 sensor, and lag-free wireless connectivity.,,
m-002,Basilisk Ergo,All-day comfort for marathon sessions.,The Basilisk Ergo is sculpted to fit your hand perfectly. With 12 programmable buttons and a hyper-scroll tilt wheel, it gives you complete control over your gameplay.,,,
m-003,Viper Mini,Small size, big performance.,The Viper Mini is perfect for claw and fingertip grip users. At just 61g, it offers lightning-fast movements without sacrificing build quality.,,
m-004,DeathAdder V3,The legend, evolved.,The DeathAdder V3 brings the iconic ergonomic shape into the modern era with a 59g wireless design and the latest optical switches.,,,
mon-001,Oculus 27,Crystal clear 1440p at 165Hz.,Experience true immersion with the Oculus 27. featuring a Fast IPS panel, 1ms GtG response time, and vibrant color accuracy covering 98% of the DCI-P3 color gamut.,,
mon-002,Horizon 34 Ultrawide,See more, do more.,Expand your field of view with the Horizon 34. This curved ultrawide monitor replaces dual monitor setups with a single, seamless display perfect for productivity and immersive gaming.,,
mon-003,Vision 24,Compact gaming excellence.,The Vision 24 is the perfect entry-level gaming monitor. 1080p resolution paired with 144Hz refresh rate delivers smooth gameplay without breaking the bank.,,,,
cap-001,GMK Classic Blue,Timeless elegance. Premium doubleshot ABS.,GMK Classic Blue brings a professional aesthetic to any keyboard. Made in Germany using high-quality ABS plastic with doubleshot legends that will never fade.,,,,
cap-002,PBT Gradient Sunset,Vibrant colors, durable PBT.,Add a splash of color to your setup with these dye-sub PBT keycaps. The gradient design transitions beautifully from orange to purple.,,,
cap-003,Akko ASA Black & Pink,Modern aesthetic, comfortable typing.,The Akko ASA profile offers a unique sculpted feel that is comfortable for long typing sessions. The black and pink colorway matches any setup.,,,
cap-004,EPBT XMAS,Holiday spirit all year round.,Enjoy PBT keycaps year-round. This set features subtle holiday colors that work even after the season ends.,,,,
sw-001,Gateron Oil King (70-pack),Silky smooth linear switches.,Factory-lubed linear switches with a deep, satisfying sound profile. The Oil Kings are known for their incredible smoothness right out of the box.,,,
sw-002,Boba U4T (90-pack),The perfect tactile bump.,Tactile switches with no pre-travel and a sharp, satisfying bump. One of the most popular tactile switches in the enthusiast community.,,,
sw-003,Kailh Box White (110-pack),Clicky satisfaction guaranteed.,Clicky switches with Box stem design for enhanced stability and dust protection. Perfect for typists who love audible feedback.,,,,
sw-004,Cherry MX Silent Red (70-pack),Whisper quiet performance.,Silent linear switches with internal dampening for reduced noise. Perfect for office environments or shared spaces.,,,,
tool-001,Complete Lube Kit Pro,Everything you need to mod switches.,Professional-grade switch lubrication kit including Krytox 205g0, GPL 105 oil, brush set, switch opener, and keycap puller.
tool-002,Switch Puller + Keycap Puller Set,Essential tools for keyboard modding.,Stainless steel switch puller and wire keycap puller. The perfect starter kit for anyone looking to customize their keyboard.,,,,
tool-003,Keyboard Cleaning Kit,Keep your setup pristine.,Complete cleaning kit with keycap puller, cleaning gel, brushes, and compressed air. Keeps your keyboard looking and feeling new.,
tool-004,O-Ring Dampeners (120-pack),Silence your bottom-out.,Clear rubber O-rings that dampen the sound of bottoming out. Perfect for open offices or late-night gaming sessions.,,,,
rest-001,Walnut Wood Wrist Rest TKL,Natural beauty, ergonomic support.,Handcrafted from solid walnut, this wrist rest provides comfortable support while adding a touch of natural elegance to your desk.,,
rest-002,Gel Memory Foam Wrist Rest,Cloud-like comfort for long sessions.,Cooling gel-infused memory foam provides optimal support and temperature regulation. The smooth lycra surface feels great against your skin.,,,,
rest-003,Acrylic Crystal Wrist Rest,Transparent elegance.,Crystal clear acrylic wrist rest that complements any setup. The smooth surface and perfect height provide excellent ergonomic support.,,,,
cable-001,Aviator Coiled Cable - Rose Gold,Premium aesthetics, durable build.,Custom coiled aviator cable with rose gold connector. Double-sleeved for durability and a premium look that matches your setup.,,,
cable-002,Braided USB-C Cable - 3m,Long reach, durable design.,Extra-long braided USB-C cable perfect for keyboard setups. The braided nylon exterior resists tangling and fraying.,,,
cable-003,Magnetic Cable Organizer Set,Keep your cables tidy.,Magnetic cable clips and ties to keep your desk clean. Includes 6 magnetic clips and 3 reusable cable ties.,,,,
mat-001,Nexus Extended Desk Mat,The foundation of your setup.,A premium 900x400mm desk mat with a micro-textured cloth surface for speed and control. Features stitched edges and a non-slip rubber base.,,,,
mat-002,Leather Desk Mat - Brown,Professional elegance.,Genuine leather desk mat that develops a beautiful patina over time. Perfect for professional setups and adds warmth to your workspace.,,,,
mat-003,RGB Gaming Mouse Pad,Light up your battlefield.,Large gaming mouse pad with customizable RGB lighting around the edges. Multiple lighting modes to match your setup.,,,,
stand-001,Atlas Single Monitor Arm,Reclaim your desk space.,The Atlas Monitor Arm features a gas-spring mechanism for effortless adjustment. Supports monitors up to 32 inches and 9kg, with integrated cable management.,,,
stand-002,Dual Monitor Arm Setup,Perfect for productivity.,Dual monitor arm setup that holds two monitors side by side. Independent adjustment for each monitor for optimal ergonomics.,,,,
stand-003,Laptop Stand Riser,Elevate your workflow.,Aluminum laptop stand that raises your screen to eye level. Improves posture and airflow for better cooling.,,,,
store-001,Keyboard Display Case,Showcase your collection.,Acrylic display case with UV protection for your prized keyboards. Stackable design for collectors with multiple boards.,,,,
store-002,Switch Storage Box,Organize your switches.,Magnetic switch storage box with 5 compartments. Perfect for keeping your switch collection organized and easily accessible.,,,,
Magnetic,Keycap Tray Organizer,Keep your keycaps sorted.,Plastic keycap tray with 8 compartments for organizing keycap sets. Clear lid makes it easy to find what you need.,,,,
Snap-on,ScreenBar Monitor Light,Illuminate without glare.,LED monitor light bar that mounts on top of your screen. Provides even desk illumination without screen glare or eye strain.,,,,
light-002,LED Strip Kit - 2m,Ambient lighting for your setup.,RGB LED strip kit perfect for under-desk or monitor backlighting. Includes remote and multiple lighting modes.,,,,
audio-001,Headset Stand with USB Hub,Store and connect.,Aluminum headset stand with integrated 3-port USB 3.0 hub. Keeps your headset safe while adding connectivity to your setup.,,,,
audio-002,Under-desk Headphone Hanger,Save desk space.,Adhesive headphone hanger that mounts under your desk. Keeps your headset within reach but out of the way.,,,,
audio-003,Microphone Boom Arm,Professional positioning.,Scissor-style microphone boom arm with internal cable management. Compatible with most USB and XLR microphones.,,,,
other-001,Desk Footrest,Ergonomic comfort under your desk.,Adjustable footrest with textured surface for foot massage. Improves circulation and posture during long sessions.,,,,
other-002,Webcam 1080p - Pro,Crystal clear video calls.,1080p webcam with auto-focus and noise-canceling microphone. Perfect for streaming, video calls, and content creation.,,
other-003,Desk Cup Holder Clip,Keep drinks off your desk.,Sturdy cup holder that clips to your desk edge. Prevents spills on your precious keyboard and electronics.,,,,
other-004,USB-C Hub 7-in-1,Expand your connectivity.,7-in-1 USB-C hub with HDMI, USB-A, SD card reader, and power delivery. Essential for modern laptops with limited ports.,
